Company_Name,Address,Phone
BANK OF AMERICA CORP /DE/,"BANK OF AMERICA CORPORATE CENTER 100 N TRYON ST CHARLOTTE, NORTH CAROLINA 28255",000-000-0000
PFIZER INC,"66 HUDSON BOULEVARD EAST NEW YORK, NEW YORK 10001-2192",000-000-0000
COCA COLA CO,"ONE COCA COLA PLAZA ATLANTA, GEORGIA 30313",000-000-0000
AbbVie Inc.,"1 NORTH WAUKEGAN ROAD NORTH CHICAGO, ILLINOIS 60064",000-000-0000
Alibaba Group Holding Ltd,"26/F TOWER ONE TIMES SQUARE, 1 MATHESON STREET CAUSEWAY BAY, HONG KONG 00000",000-000-0000
NOVO NORDISK A S,"NOVO ALLE DK 2880 BAGSVAERD DENMARK, DENMARK 00000",000-000-0000
PEPSICO INC,"700 ANDERSON HILL RD PURCHASE, NEW YORK 10577",000-000-0000
COSTCO WHOLESALE CORP /NEW,"999 LAKE DRIVE ISSAQUAH, WASHINGTON 98027-",000-000-0000
"Merck & Co., Inc.","2000 GALLOPING HILL ROAD KENILWORTH, NEW JERSEY 07033",000-000-0000
THERMO FISHER SCIENTIFIC INC.,"168 THIRD AVENUE WALTHAM, MASSACHUSETTS 02451",000-000-0000
Broadcom Inc.,"1320 RIDDER PARK DRIVE SAN JOSE, CALIFORNIA 95131",000-000-0000
DANAHER CORP /DE/,"2200 PENNSYLVANIA AVE. N.W. SUITE 800W WASHINGTON, DISTRICT OF COLUMBIA 20037-1701",000-000-0000
Walt Disney Co,"500 SOUTH BUENA VISTA STREET BURBANK, CALIFORNIA 91521",000-000-0000
TOYOTA MOTOR CORP/,"1 TOYOTA CHO TOYOTA CITY AICHI PREFECTURE 471-8571 JAPAN, JAPAN 00000",000-000-0000
MCDONALDS CORP,"110 NORTH CARPENTER STREET CHICAGO, ILLINOIS 60607",000-000-0000
ASML HOLDING NV,"DE RUN 6501 DR VELDHOVEN, NETHERLANDS 5504",000-000-0000
ORACLE CORP,"500 ORACLE PARKWAY MAIL STOP 5 OP 7 REDWOOD CITY, CALIFORNIA 94065",000-000-0000
ABBOTT LABORATORIES,"100 ABBOTT PARK ROAD ABBOTT PARK, ILLINOIS 60064-3500",000-000-0000
"CISCO SYSTEMS, INC.","170 WEST TASMAN DR SAN JOSE, CALIFORNIA 95134-1706",000-000-0000
NOVARTIS AG,"LICHTSTRASSE 35 BASEL, SWITZERLAND CH 4056",000-000-0000
ASTRAZENECA PLC,"1 FRANCIS CRICK AVENUE CAMBRIDGE BIOMEDICAL CAMPUS CAMBRIDGE, UNITED KINGDOM CB2 0AA",000-000-0000
"T-Mobile US, Inc.","12920 SE 38TH STREET BELLEVUE, WASHINGTON 98006",000-000-0000
WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET SAN FRANCISCO, CALIFORNIA 94163",000-000-0000
Accenture plc,"1 GRAND CANAL SQUARE GRAND CANAL HARBOUR DUBLIN, IRELAND D2",000-000-0000
VERIZON COMMUNICATIONS INC,"1095 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036",000-000-0000
NEXTERA ENERGY INC,"700 UNIVERSE BLVD JUNO BEACH, FLORIDA 33408",000-000-0000
"NIKE, Inc.","ONE BOWERMAN DR BEAVERTON, OREGON 97005-6453",000-000-0000
UNITED PARCEL SERVICE INC,"55 GLENLAKE PARKWAY NE ATLANTA, GEORGIA 30328",000-000-0000
BRISTOL MYERS SQUIBB CO,"430 E. 29TH STREET 14 FLOOR NEW YORK, NEW YORK 10016",000-000-0000
MORGAN STANLEY,"1585 BROADWAY NEW YORK, NEW YORK 10036",000-000-0000
COMCAST CORP,"ONE COMCAST CENTER PHILADELPHIA, PENNSYLVANIA 19103-2838",000-000-0000
"Salesforce, Inc.","SALESFORCE TOWER 415 MISSION STREET 3RD FL SAN FRANCISCO, CALIFORNIA 94105",000-000-0000
CONOCOPHILLIPS,"925 N. ELDRIDGE PARKWAY HOUSTON, TEXAS 77079",000-000-0000
TEXAS INSTRUMENTS INC,"P.O. BOX 660199 DALLAS, TEXAS 75266",000-000-0000
ADOBE INC.,"345 PARK AVE SAN JOSE, CALIFORNIA 95110-2704",000-000-0000
Philip Morris International Inc.,"677 WASHINGTON BLVD, STE. 1100 STAMFORD, CONNECTICUT 06901",000-000-0000
LINDE PLC,"FORGE, 43 CHURCH STREET WEST WOKING SURREY, UNITED KINGDOM GU216HT",000-000-0000
UNION PACIFIC CORP,"1400 DOUGLAS STREET STOP 0310 OMAHA, NEBRASKA 68179",000-000-0000
QUALCOMM INC/DE,"5775 MOREHOUSE DR SAN DIEGO, CALIFORNIA 92121",000-000-0000
ROYAL BANK OF CANADA,"ROYAL BANK PLAZA 200 BAY STREET TORONTO, ONTARIO, CANADA M5J2J5",000-000-0000
SCHWAB CHARLES CORP,"3000 SCHWAB WAY WESTLAKE, TEXAS 76262",000-000-0000
CVS HEALTH Corp,"ONE CVS DR. WOONSOCKET, RHODE ISLAND 02895",000-000-0000
BHP Group Ltd,"16/171 COLLINS STREET MELBOURNE VICTORIA AUSTRALIA, AUSTRALIA 3000",000-000-0000
TotalEnergies SE,"2 PLACE JEAN MILLIER LA DEFENSE 6 COURBEVOIE, FRANCE 92400",000-000-0000
LOWES COMPANIES INC,"1000 LOWES BLVD. MOORESVILLE, NORTH CAROLINA 28117",000-000-0000
AMGEN INC,"ONE AMGEN CENTER DRIVE THOUSAND OAKS, CALIFORNIA 91320",000-000-0000
RAYTHEON TECHNOLOGIES CORP,"870 WINTER STREET WALTHAM, MASSACHUSETTS 02451",000-000-0000
"Ascent Solar Technologies, Inc.","12300 GRANT STREET THORNTON, COLORADO 80241",000-000-0000
HSBC HOLDINGS PLC,"8 CANADA SQUARE LONDON, UNITED KINGDOM E145HQ",000-000-0000
HDFC BANK LTD,"'HDFC BANK HOUSE', SENAPATI BAPAT ROAD LOWER PAREL (WEST), MUMBAI INDIA INDIA, INDIA 400013",000-000-0000
Medtronic plc,"20 ON HATCH, LOWER HATCH STREET DUBLIN, IRELAND 2",000-000-0000
HONEYWELL INTERNATIONAL INC,"855 S. MINT STREET CHARLOTTE, NORTH CAROLINA 28202",000-000-0000
TORONTO DOMINION BANK,"66 WELLINGTON STREET WEST 12TH FLOOR, TD TOWER TORONTO, ONTARIO, ONTARIO, CANADA M5K 1A2",000-000-0000
AMERICAN EXPRESS CO,"200 VESEY STREET 50TH FLOOR NEW YORK, NEW YORK 10285",000-000-0000
AT&T INC.,"208 S. AKARD ST DALLAS, TEXAS 75202",000-000-0000
INTUIT INC.,"2700 COAST AVENUE MOUNTAIN VIEW, CALIFORNIA 94043",000-000-0000
INTEL CORP,"2200 MISSION COLLEGE BLVD RNB-4-151 SANTA CLARA, CALIFORNIA 95054",000-000-0000
EQUINOR ASA,"FORUSBEEN 50 STAVANGER NORWAY, NORWAY N 4035",000-000-0000
UNILEVER PLC,"UNILEVER HOUSE BLACKFRIARS LONDON ENGLAND, UNITED KINGDOM EC4P 4BQ",000-000-0000
"INVESCO QQQ TRUST, SERIES 1","3500 LACEY ROAD SUITE 700 DOWNERS GROVE, ILLINOIS 60515",000-000-0000
LOCKHEED MARTIN CORP,"6801 ROCKLEDGE DR BETHESDA, MARYLAND 20817",000-000-0000
"PayPal Holdings, Inc.","2211 NORTH FIRST STREET SAN JOSE, CALIFORNIA 95131",000-000-0000
INTERNATIONAL BUSINESS MACHINES CORP,"1 NEW ORCHARD ROAD ARMONK, NEW YORK 10504",000-000-0000
AMERICAN TOWER CORP /MA/,"116 HUNTINGTON AVE BOSTON, MASSACHUSETTS 02116",000-000-0000
GOLDMAN SACHS GROUP INC,"200 WEST STREET NEW YORK, NEW YORK 10282",000-000-0000
DEERE & CO,"ONE JOHN DEERE PLACE MOLINE, ILLINOIS 61265-8098",000-000-0000
STARBUCKS CORP,"P O BOX 34067 SEATTLE, WASHINGTON 98124-1067",000-000-0000
NETFLIX INC,"121 ALBRIGHT WAY LOS GATOS, CALIFORNIA 95032",000-000-0000
BP PLC,"1 ST JAMES'S SQUARE LONDON, UNITED KINGDOM SW1Y 4PD",000-000-0000
Sanofi,"46 AVENUE DE LA GRANDE ARMEE PARIS, FRANCE 75017",000-000-0000
DIAGEO PLC,"16 GREAT MARLBOROUGH STREET LONDON, UNITED KINGDOM W1F 7HS",000-000-0000
SAP SE,"DIETMAR-HOPP-ALLEE 16 WALLDORF, GERMANY 69190",000-000-0000
CATERPILLAR INC,"5205 N. O'CONNOR BOULEVARD SUITE 100 IRVING, TEXAS 75039",000-000-0000
AUTOMATIC DATA PROCESSING INC,"ONE ADP BOULVARD ROSELAND, NEW JERSEY 07068",000-000-0000
RIO TINTO LTD,"120 COLLINS STREET MELBOURNE VICTORIA 3000, AUSTRALIA AUSTRALIA",000-000-0000
CITIGROUP INC,"388 GREENWICH STREET NEW YORK, NEW YORK 10013",000-000-0000
Cigna Group,"900 COTTAGE GROVE ROAD BLOOMFIELD, CONNECTICUT 06002",000-000-0000
BlackRock Inc.,"50 HUDSON YARDS NEW YORK, NEW YORK 10001",000-000-0000
"JD.com, Inc.","20TH FLOOR, BUILDING A, NO. 18 KECHUANG YIZHUANG BDA DAXING DISTRICT, BEIJING, CHINA 101111",000-000-0000
ADVANCED MICRO DEVICES INC,"2485 AUGUSTINE DRIVE SANTA CLARA, CALIFORNIA 95054",000-000-0000
CSL LTD,"45 POPLAR RD PRAKVILLE VICTORIA AUSTRA, AUSTRALIA 00000",000-000-0000
British American Tobacco p.l.c.,"GLOBE HOUSE 4 TEMPLE PLACE LONDON, UNITED KINGDOM WC2R 2PG",000-000-0000
Sony Group Corp,"1-7-1, KONAN MINATO-KU TOKYO, JAPAN 108-0075",000-000-0000
RIO TINTO PLC,"6 ST JAMES'S SQUARE LONDON, SW1Y 4AD, UNITED KINGDOM 00000",000-000-0000
ESTEE LAUDER COMPANIES INC,"767 FIFTH AVE NEW YORK, NEW YORK 10153",000-000-0000
BOEING CO,"929 LONG BRIDGE DRIVE ARLINGTON, VIRGINIA 22202",000-000-0000
"ServiceNow, Inc.","2225 LAWSON LANE SANTA CLARA, CALIFORNIA 95054",000-000-0000
PETROBRAS - PETROLEO BRASILEIRO SA,"AVENIDA REPUBLICA DO CHILE 65 RIO DE JANERIO RJ BR, BRAZIL 20035-900",000-000-0000
"Prologis, Inc.","PIER 1 BAY 1 SAN FRANCISCO, CALIFORNIA 94111",000-000-0000
Anheuser-Busch InBev SA/NV,"BROUWERIJPLEIN 1 LEUVEN, BELGIUM 3000",000-000-0000
PDD Holdings Inc.,"FIRST FLOOR, 25 ST STEPHEN'S GREEN DUBLIN 2, IRELAND D02 XF99",000-000-0000
STRYKER CORP,"2825 AIRVIEW BLVD KALAMAZOO, MICHIGAN 49002",000-000-0000
ENBRIDGE INC,"200 425 - 1ST STREET SW CALGARY, ALBERTA, CANADA T2P 3L8",000-000-0000
CANADIAN NATIONAL RAILWAY CO,"935 DE LA GAUCHETIERE ST W MONTREAL QUEBEC CANADA, QUEBEC, CANADA H3B 2M9",000-000-0000
S&P Global Inc.,"55 WATER STREET NEW YORK, NEW YORK 10041",000-000-0000
"Mondelez International, Inc.","905 WEST FULTON MARKET SUITE 200 CHICAGO, ILLINOIS 60607",000-000-0000
Chubb Ltd,"BARENGASSE 32 ZURICH, SWITZERLAND CH-8001",000-000-0000
SOUTHERN CO,"30 IVAN ALLEN JR. BLVD., N.W. ATLANTA, GEORGIA 30308",000-000-0000
Duke Energy CORP,"526 SOUTH CHURCH STREET CHARLOTTE, NORTH CAROLINA 28202-1803",000-000-0000
"GILEAD SCIENCES, INC.","333 LAKESIDE DR FOSTER CITY, CALIFORNIA 94404",000-000-0000
ICICI BANK LTD,"ICICI BANK TOWERS BANDRA-KURLA COMPLEX MUMBAI, INDIA 400 051",000-000-0000
Booking Holdings Inc.,"800 CONNECTICUT AVE NORWALK, CONNECTICUT 06854",000-000-0000
"Airbnb, Inc.","888 BRANNAN ST. SAN FRANCISCO, CALIFORNIA 94103",000-000-0000
"MARSH & MCLENNAN COMPANIES, INC.","1166 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036",000-000-0000
TARGET CORP,"1000 NICOLLET MALL MINNEAPOLIS, MINNESOTA 55403",000-000-0000
APPLIED MATERIALS INC /DE,"3050 BOWERS AVE SANTA CLARA, CALIFORNIA 95054-3299",000-000-0000
GSK PLC,"980 GREAT WEST ROAD BRENTFORD MIDDLESEX, UNITED KINGDOM TW8 9GS",000-000-0000
ANALOG DEVICES INC,"ONE ANALOG WAY WILMINGTON, MASSACHUSETTS 01887",000-000-0000
TJX COMPANIES INC /DE/,"770 COCHITUATE RD FRAMINGHAM, MASSACHUSETTS 01701",000-000-0000
"ALTRIA GROUP, INC.","6601 WEST BROAD STREET RICHMOND, VIRGINIA 23230",000-000-0000
BROOKFIELD Corp /ON/,"BROOKFIELD PLACE, 181 BAY ST, STE 100 PO BOX 762 TORONTO, ONTARIO, CANADA M5J2T3",000-000-0000
NORTHROP GRUMMAN CORP /DE/,"2980 FAIRVIEW PARK DRIVE C/O NORTHROP GRUMMAN CORP FALLS CHURCH, VIRGINIA 22042",000-000-0000
"REGENERON PHARMACEUTICALS, INC.","777 OLD SAW MILL RIVER ROAD TARRYTOWN, NEW YORK 10591",000-000-0000
Infosys Ltd,"ELECTRONICS CITY HOSUR RD BANGALORE KARNATAKA INDIA BANGALORE, INDIA 560 100",000-000-0000
GENERAL ELECTRIC CO,"5 NECCO STREET BOSTON, MASSACHUSETTS 02210",000-000-0000
Glencore plc/ADR,"120 BROADWAY 32ND FLOOR NEW YORK, NEW YORK 10271",000-000-0000
Zoetis Inc.,"10 SYLVAN WAY PARSIPPANY, NEW JERSEY 07054",000-000-0000
INTUITIVE SURGICAL INC,"1020 KIFER ROAD SUNNYVALE, CALIFORNIA 94086",000-000-0000
Airbus SE/ADR,"120 BROADWAY 32ND FLOOR NEW YORK, NEW YORK 10271",000-000-0000
PROGRESSIVE CORP/OH/,"6300 WILSON MILLS RD MAYFIELD VILLAGE, OHIO 44143",000-000-0000
BECTON DICKINSON & CO,"ONE BECTON DR FRANKLIN LAKES, NEW JERSEY 07417-1880",000-000-0000
VERTEX PHARMACEUTICALS INC / MA,"50 NORTHERN AVENUE BOSTON, MASSACHUSETTS 02210",000-000-0000
EOG RESOURCES INC,"1111 BAGBY, SKY LOBBY 2 HOUSTON, TEXAS 77002",000-000-0000
WASTE MANAGEMENT INC,"800 CAPITOL STREET, STE 3000 HOUSTON, TEXAS 77002",000-000-0000
PT Bank Central Asia Tbk / ADR,"120 BROADWAY 32ND FLOOR NEW YORK, NEW YORK 10271",000-000-0000
CANADIAN PACIFIC RAILWAY LTD/CN,"7550 OGDEN DALE ROAD S.E. CALGARY ALBERTA, ALBERTA, CANADA T2C 4X9",000-000-0000
Industria de Diseno Textil Inditex SA / ADR,"120 BROADWAY 32ND FLOOR NEW YORK, NEW YORK 10271",000-000-0000
CROWN CASTLE INC.,"8020 KATY FREEWAY HOUSTON, TEXAS 77024",000-000-0000
"PNC FINANCIAL SERVICES GROUP, INC.","THE TOWER AT PNC PLAZA 300 FIFTH AVENUE PITTSBURGH, PENNSYLVANIA 15222-2401",000-000-0000
FISERV INC,"255 FISERV DR PO BOX 979 BROOKFIELD, WISCONSIN 53045",000-000-0000
CME GROUP INC.,"20 S. WACKER DR. CHICAGO, ILLINOIS 60606",000-000-0000
Alphabet Inc.,"1600 AMPHITHEATRE PARKWAY MOUNTAIN VIEW, CALIFORNIA 94043",000-000-0000
US BANCORP \DE\,"U.S. BANCORP 800 NICOLLET MALL MINNEAPOLIS, MINNESOTA 55402-7020",000-000-0000
"CHARTER COMMUNICATIONS, INC. /MO/","400 ATLANTIC STREET STAMFORD, CONNECTICUT 06901",000-000-0000
Blackstone Inc.,"345 PARK AVENUE NEW YORK, NEW YORK 10154",000-000-0000
3M CO,"3M CENTER BLDG. 220-13E-26A ST PAUL, MINNESOTA 55144-1000",000-000-0000
CSX CORP,"500 WATER STREET 15TH FLOOR JACKSONVILLE, FLORIDA 32202",000-000-0000
MITSUBISHI UFJ FINANCIAL GROUP INC,"7-1 MARUNOUCHI 2-CHOME CHIYODA-KU TOKYO, JAPAN 100-8330",000-000-0000
BANK OF NOVA SCOTIA,"40 TEMPERANCE STREET TORONTO, ONTARIO, CANADA M5H 0B4",000-000-0000
"DOMINION ENERGY, INC","120 TREDEGAR STREET RICHMOND, VIRGINIA 23219",000-000-0000
"HCA Healthcare, Inc.","ONE PARK PLZ NASHVILLE, TENNESSEE 37203",000-000-0000
SOFTBANK GROUP CORP.,"1-7-1 KAIGAN MINATO-KU TOKYO, JAPAN 105-7537",000-000-0000
"Uber Technologies, Inc","1515 3RD STREET SAN FRANCISCO, CALIFORNIA 94158",000-000-0000
TRUIST FINANCIAL CORP,"214 NORTH TRYON STREET CHARLOTTE, NORTH CAROLINA 28202",000-000-0000
AMAZON COM INC,"410 TERRY AVENUE NORTH SEATTLE, WASHINGTON 98109",000-000-0000
Atlassian Corp,"350 BUSH STREET FLOOR 13 SAN FRANCISCO, CALIFORNIA 94104",000-000-0000
HUMANA INC,"500 W MAIN ST LOUISVILLE, KENTUCKY 40202",000-000-0000
GENERAL DYNAMICS CORP,"11011 SUNSET HILLS RD RESTON, VIRGINIA 20190",000-000-0000
CANADIAN NATURAL RESOURCES LTD,"2100, 855-2 STREET SW CALGARY ALBERTA CANADA, ALBERTA, CANADA T2P 4J8",000-000-0000
COLGATE PALMOLIVE CO,"300 PARK AVE NEW YORK, NEW YORK 10022",000-000-0000
Vale S.A.,"PRAIA DE BOTAFOGO, 186 RIO DE JANEIRO, BRAZIL 22250-145",000-000-0000
BANK OF MONTREAL /CAN/,"1 FIRST CANADIAN PLACE TORONTO, ONTARIO, CANADA M5X 1A1",000-000-0000
Aon plc,"METROPOLITAN BUILDING JAMES JOYCE STREET DUBLIN 1, IRELAND D01 K0Y8",000-000-0000
DAIMLER AG,"MERCEDESSTRASSE 137 STUTTGART, GERMANY 70327",000-000-0000
ILLINOIS TOOL WORKS INC,"155 HARLEM AVENUE GLENVIEW, ILLINOIS 60025",000-000-0000
OCCIDENTAL PETROLEUM CORP /DE/,"5 GREENWAY PLAZA SUITE 110 HOUSTON, TEXAS 77046",000-000-0000
Snowflake Inc.,"106 EAST BABCOCK STREET SUITE 3A BOZEMAN, MONTANA 59715",000-000-0000
BOSTON SCIENTIFIC CORP,"300 BOSTON SCIENTIFIC WAY MARLBOROUGH, MASSACHUSETTS 01752-1234",000-000-0000
"Activision Blizzard, Inc.","2701 OLYMPIC BOULEVARD BUILDING B SANTA MONICA, CALIFORNIA 90404",000-000-0000
"EIDP, Inc.","9330 ZIONSVILLE ROAD INDIANAPOLIS, INDIANA 46268",000-000-0000
PIONEER NATURAL RESOURCES CO,"777 HIDDEN RIDGE IRVING, TEXAS 75038",000-000-0000
FORD MOTOR CO,"ONE AMERICAN ROAD DEARBORN, MICHIGAN 48126",000-000-0000
Edwards Lifesciences Corp,"ONE EDWARDS WAY IRVINE, CALIFORNIA 92614",000-000-0000
Marathon Petroleum Corp,"539 SOUTH MAIN STREET FINDLAY, OHIO 45840-3229",000-000-0000
General Motors Co,"300 RENAISSANCE CENTER DETROIT, MICHIGAN 48265-3000",000-000-0000
MICRON TECHNOLOGY INC,"8000 S FEDERAL WAY PO BOX 6 BOISE, IDAHO 83716-9632",000-000-0000
SHERWIN WILLIAMS CO,"101 PROSPECT AVE NW CLEVELAND, OHIO 44115",000-000-0000
LAM RESEARCH CORP,"4650 CUSHING BLVD FREMONT, CALIFORNIA 94538",000-000-0000
NORFOLK SOUTHERN CORP,"650 W PEACHTREE STREET NW ATLANTA, GEORGIA 30308",000-000-0000
UBS Group AG,"BAHNHOFSTRASSE 45 ZURICH, SWITZERLAND CH-8001",000-000-0000
"NetEase, Inc.","NETEASE BUILDING, NO. 599 WANGSHANG RD BINJIANG DISTRICT HANGZHOU, CHINA 310052",000-000-0000
ENTERPRISE PRODUCTS PARTNERS L.P.,"1100 LOUISIANA 10TH FLOOR HOUSTON, TEXAS 77002",000-000-0000
Eaton Corp plc,"30 PEMBROKE ROAD EATON HOUSE DUBLIN, IRELAND DUBLIN 4",000-000-0000
DOLLAR GENERAL CORP,"100 MISSION RIDGE GOODLETTSVILLE, TENNESSEE 37072",000-000-0000
SCHLUMBERGER LIMITED/NV,"5599 SAN FELIPE 17TH FLOOR HOUSTON, TEXAS 77056",000-000-0000
ABB LTD,"PO BOX 8131 CH 8050 ZURICH SWITZERLAND, SWITZERLAND 999999999",000-000-0000
EQUINIX INC,"ONE LAGOON DRIVE REDWOOD CITY, CALIFORNIA 94065",000-000-0000
"Intercontinental Exchange, Inc.","5660 NEW NORTHSIDE DRIVE, THIRD FLOOR ATLANTA, GEORGIA 30328",000-000-0000
METLIFE INC,"200 PARK AVENUE NEW YORK, NEW YORK 10166",000-000-0000
"Moderna, Inc.","200 TECHNOLOGY SQUARE CAMBRIDGE, MASSACHUSETTS 02139",000-000-0000
"Air Products & Chemicals, Inc.","1940 AIR PRODUCTS BLVD. ALLENTOWN, PENNSYLVANIA 18106-5500",000-000-0000
Public Storage,"701 WESTERN AVENUE GLENDALE, CALIFORNIA 91201-2349",000-000-0000
SEMPRA ENERGY,"488 8TH AVENUE SAN DIEGO, CALIFORNIA 92101",000-000-0000
THOMSON REUTERS CORP /CAN/,"333 BAY STREET SUITE 300 TORONTO, ONTARIO, CANADA M5H 2R2",000-000-0000
FEDEX CORP,"942 SOUTH SHADY GROVE ROAD MEMPHIS, TENNESSEE 38120-",000-000-0000
AMERICA MOVIL SAB DE CV/,"LAGO ZURICH 245 COLONIA GRANADA AMPLIACION MEXICO DF, MEXICO 11529",000-000-0000
MARRIOTT INTERNATIONAL INC /MD/,"7750 WISCONSIN AVENUE BETHESDA, MARYLAND 20814",000-000-0000
Keurig Dr Pepper Inc.,"53 SOUTH AVENUE BURLINGTON, MASSACHUSETTS 01803",000-000-0000
RECKITT BENCKISER GROUP PLC,"103-105 BATH ROAD SLOUGH, UNITED KINGDOM SL1 3UH",000-000-0000
MOODYS CORP /DE/,"7 WORLD TRADE CENTER AT 250 GREENWICH STREET NEW YORK, NEW YORK 10007",000-000-0000
"Fidelity National Information Services, Inc.","347 RIVERSIDE AVENUE JACKSONVILLE, FLORIDA 32202",000-000-0000
MCKESSON CORP,"6555 STATE HIGHWAY 161 IRVING, TEXAS 75039",000-000-0000
KLA CORP,"ONE TECHNOLOGY DRIVE MILPITAS, CALIFORNIA 95035",000-000-0000
Nutrien Ltd.,"211 19TH STREET EAST SUITE 1700 SASKATOON, SASKATCHEWAN, CANADA S7K 5R6",000-000-0000
CENTENE CORP,"7700 FORSYTH BLVD. ST LOUIS, MISSOURI 63105",000-000-0000
AMERICAN ELECTRIC POWER CO INC,"1 RIVERSIDE PLAZA COLUMBUS, OHIO 43215",000-000-0000
Itau Unibanco Holding S.A.,"PC. ALFREDO EGYDIO DE SOUZA ARANHA, 100 TORRE AE, 3 ANDAR, CEP 04344-902 SAO PAULO, BRAZIL 00000",000-000-0000
ENEL SOCIETA PER AZIONI,"VIALE REGINA MARGHERITA 137 - ROME, ITALY 00198",000-000-0000
,,
RELX PLC,"1-3 STRAND LONDON WC2N 5JR, UNITED KINGDOM 00000",000-000-0000
MERCADOLIBRE INC,"DR. LUIS BONAVITA 1294 OF. 1733 TOWER II MONTEVIDEO, URUGUAY 11300",000-000-0000
PERNOD RICARD S A /FI,"142 BD HAUSSMANN 75008 PARIS FRANCE, FRANCE",000-000-0000
SYNOPSYS INC,"690 E MIDDLEFIELD RD MOUNTAIN VIEW, CALIFORNIA 94043",000-000-0000
CHIPOTLE MEXICAN GRILL INC,"610 NEWPORT CENTER DR SUITE 1100 NEWPORT BEACH, CALIFORNIA 92660",000-000-0000
EMERSON ELECTRIC CO,"8000 W FLORISSANT AVE P O BOX 4100 ST LOUIS, MISSOURI 63136",000-000-0000
"VMWARE, INC.","3401 HILLVIEW AVENUE PALO ALTO, CALIFORNIA 94304",000-000-0000
Archer-Daniels-Midland Co,"77 W. WACKER DR. CHICAGO, ILLINOIS 60601",000-000-0000
DEVON ENERGY CORP/DE,"333 W. SHERIDAN AVENUE OKLAHOMA CITY, OKLAHOMA 73102",000-000-0000
TC ENERGY CORP,"450 - 1ST STREET S.W. CALGARY ALBERTA, ALBERTA, CANADA T2P 5H1",000-000-0000
O REILLY AUTOMOTIVE INC,"233 S PATTERSON AVE SPRINGFIELD, MISSOURI 65802",000-000-0000
ECOLAB INC.,"1 ECOLAB PLACE SAINT PAUL, MINNESOTA 55102",000-000-0000
Monster Beverage Corp,"1 MONSTER WAY CORONA, CALIFORNIA 92879",000-000-0000
"REPUBLIC SERVICES, INC.","18500 N. ALLIED WAY PHOENIX, ARIZONA 85054",000-000-0000
SUNCOR ENERGY INC,"P.O. BOX 2844 150 - 6TH AVENUE S.W. CALGARY, ALBERTA, CANADA T2P 3E3",000-000-0000
GENERAL MILLS INC,"NUMBER ONE GENERAL MILLS BLVD MINNEAPOLIS, MINNESOTA 55426",000-000-0000
"Corteva, Inc.","9330 ZIONSVILLE ROAD INDIANAPOLIS, INDIANA 46268",000-000-0000
HERSHEY CO,"19 EAST CHOCOLATE AVENUE EXTERNAL RPTG & COMPLIANCE HERSHEY, PENNSYLVANIA 17033",000-000-0000
CADENCE DESIGN SYSTEMS INC,"2655 SEELY AVENUE BLDG 5 SAN JOSE, CALIFORNIA 95134",000-000-0000
